region,tech,share,intensity,intensity_unit,carrier,occupancy,pkm_obs,tier,provenance
BE,CAR.E,0.0002,8.185288e-07,TJ/vkm,ELE,1.5,109985.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
BE,MOTO,1.0,3.000000e-05,t/vkm,GASO,1.1,1268.0,int:NXTR-default|pkm:obs,"MOTO: NXTR v0 default intensity; pkm ESTAT Y11 where observed, else the region gets a zero-output MOTO activity (declared)"
BG,CAR.G,0.0,6.716955e-05,t/vkm,GASO,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
BG,CAR.D,0.0,6.716955e-05,t/vkm,DIES,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
BG,CAR.LPG,0.9333,6.414323e-05,t/vkm,LPG,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
BG,CAR.CNG,0.0661,4.077467e-05,t/vkm,NGAS,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
BG,CAR.E,0.0006,7.758089e-07,TJ/vkm,ELE,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
BG,MOTO,1.0,3.000000e-05,t/vkm,GASO,1.1,0.0,int:NXTR-default|pkm:none,"MOTO: NXTR v0 default intensity; pkm ESTAT Y11 where observed, else the region gets a zero-output MOTO activity (declared)"
CY,CAR.G,0.8936,5.241668e-05,t/vkm,GASO,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
CY,CAR.D,0.1064,5.241668e-05,t/vkm,DIES,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
CY,CAR.LPG,0.0,1.001101e-04,t/vkm,LPG,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
CY,CAR.CNG,0.0,4.077467e-05,t/vkm,NGAS,1.5,0.0,sh:carpark-Y13|int:FULFILL-median|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
CY,CAR.E,0.0,1.021876e-06,TJ/vkm,ELE,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
CY,MOTO,1.0,3.000000e-05,t/vkm,GASO,1.1,0.0,int:NXTR-default|pkm:none,"MOTO: NXTR v0 default intensity; pkm ESTAT Y11 where observed, else the region gets a zero-output MOTO activity (declared)"
CZ,CAR.G,0.6769,6.716955e-05,t/vkm,GASO,1.5,65490.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
CZ,CAR.D,0.3231,6.716955e-05,t/vkm,DIES,1.5,65490.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
CZ,CAR.LPG,0.0,6.414323e-05,t/vkm,LPG,1.5,65490.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
CZ,CAR.CNG,0.0,4.077467e-05,t/vkm,NGAS,1.5,65490.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
CZ,CAR.E,0.0001,7.758089e-07,TJ/vkm,ELE,1.5,65490.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
CZ,MOTO,1.0,3.000000e-05,t/vkm,GASO,1.1,0.0,int:NXTR-default|pkm:none,"MOTO: NXTR v0 default intensity; pkm ESTAT Y11 where observed, else the region gets a zero-output MOTO activity (declared)"
DE,CAR.G,0.6845,5.744344e-05,t/vkm,GASO,1.5,900530.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
DE,CAR.D,0.302,5.744344e-05,t/vkm,DIES,1.5,900530.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
DE,CAR.LPG,0.0114,5.485533e-05,t/vkm,LPG,1.5,900530.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
DE,CAR.CNG,0.0018,3.545470e-05,t/vkm,NGAS,1.5,900530.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
DE,CAR.E,0.0003,8.185288e-07,TJ/vkm,ELE,1.5,900530.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
DE,MOTO,1.0,3.000000e-05,t/vkm,GASO,1.1,11887.0,int:NXTR-default|pkm:obs,"MOTO: NXTR v0 default intensity; pkm ESTAT Y11 where observed, else the region gets a zero-output MOTO activity (declared)"
DK,CAR.G,0.7125,5.913218e-05,t/vkm,GASO,1.5,59759.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
DK,CAR.D,0.2868,5.913218e-05,t/vkm,DIES,1.5,59759.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
DK,CAR.LPG,0.0,5.485795e-05,t/vkm,LPG,1.5,59759.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
DK,CAR.CNG,0.0,5.352759e-05,t/vkm,NGAS,1.5,59759.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
DK,CAR.E,0.0007,6.420603e-07,TJ/vkm,ELE,1.5,59759.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
DK,MOTO,1.0,3.000000e-05,t/vkm,GASO,1.1,0.0,int:NXTR-default|pkm:none,"MOTO: NXTR v0 default intensity; pkm ESTAT Y11 where observed, else the region gets a zero-output MOTO activity (declared)"
EE,CAR.G,0.6783,5.241668e-05,t/vkm,GASO,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
EE,CAR.D,0.3204,5.241668e-05,t/vkm,DIES,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
EE,CAR.LPG,0.0,5.005505e-05,t/vkm,LPG,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
EE,CAR.CNG,0.0002,4.982042e-05,t/vkm,NGAS,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
EE,CAR.E,0.0011,1.021876e-06,TJ/vkm,ELE,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
EE,MOTO,1.0,3.000000e-05,t/vkm,GASO,1.1,0.0,int:NXTR-default|pkm:none,"MOTO: NXTR v0 default intensity; pkm ESTAT Y11 where observed, else the region gets a zero-output MOTO activity (declared)"
ES,CAR.G,0.0,5.241668e-05,t/vkm,GASO,1.5,334021.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
ES,CAR.D,0.0,5.241668e-05,t/vkm,DIES,1.5,334021.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
ES,CAR.LPG,0.0,5.005505e-05,t/vkm,LPG,1.5,334021.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
ES,CAR.CNG,0.0,4.982042e-05,t/vkm,NGAS,1.5,334021.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
ES,CAR.E,1.0,1.021876e-06,TJ/vkm,ELE,1.5,334021.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
ES,MOTO,1.0,3.000000e-05,t/vkm,GASO,1.1,1948.0,int:NXTR-default|pkm:obs,"MOTO: NXTR v0 default intensity; pkm ESTAT Y11 where observed, else the region gets a zero-output MOTO activity (declared)"
FI,CAR.G,0.7726,5.744344e-05,t/vkm,GASO,1.5,65490.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
FI,CAR.D,0.2273,5.744344e-05,t/vkm,DIES,1.5,65490.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
FI,CAR.LPG,0.0,5.485533e-05,t/vkm,LPG,1.5,65490.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
FI,CAR.CNG,0.0001,3.545470e-05,t/vkm,NGAS,1.5,65490.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
FI,CAR.E,0.0001,8.185288e-07,TJ/vkm,ELE,1.5,65490.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
FI,MOTO,1.0,3.000000e-05,t/vkm,GASO,1.1,1161.0,int:NXTR-default|pkm:obs,"MOTO: NXTR v0 default intensity; pkm ESTAT Y11 where observed, else the region gets a zero-output MOTO activity (declared)"
FR,CAR.G,0.3597,5.241668e-05,t/vkm,GASO,1.5,812.7,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
FR,CAR.D,0.6398,5.241668e-05,t/vkm,DIES,1.5,812.7,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
FR,CAR.LPG,0.0,5.005505e-05,t/vkm,LPG,1.5,812.7,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
FR,CAR.CNG,0.0,4.982042e-05,t/vkm,NGAS,1.5,812.7,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
FR,CAR.E,0.0005,1.021876e-06,TJ/vkm,ELE,1.5,812.7,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
FR,MOTO,1.0,3.000000e-05,t/vkm,GASO,1.1,0.0,int:NXTR-default|pkm:none,"MOTO: NXTR v0 default intensity; pkm ESTAT Y11 where observed, else the region gets a zero-output MOTO activity (declared)"
GR,CAR.G,0.0,6.716955e-05,t/vkm,GASO,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
GR,CAR.D,0.0,6.716955e-05,t/vkm,DIES,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
GR,CAR.LPG,0.0,6.414323e-05,t/vkm,LPG,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
GR,CAR.CNG,0.0,4.077467e-05,t/vkm,NGAS,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
GR,CAR.E,1.0,7.758089e-07,TJ/vkm,ELE,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
GR,MOTO,1.0,3.000000e-05,t/vkm,GASO,1.1,0.0,int:NXTR-default|pkm:none,"MOTO: NXTR v0 default intensity; pkm ESTAT Y11 where observed, else the region gets a zero-output MOTO activity (declared)"
HR,CAR.G,0.597,6.716955e-05,t/vkm,GASO,1.5,25242.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
HR,CAR.D,0.403,6.716955e-05,t/vkm,DIES,1.5,25242.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
HR,CAR.LPG,0.0,6.414323e-05,t/vkm,LPG,1.5,25242.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
HR,CAR.CNG,0.0,4.077467e-05,t/vkm,NGAS,1.5,25242.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
HR,CAR.E,0.0,7.758089e-07,TJ/vkm,ELE,1.5,25242.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
HR,MOTO,1.0,3.000000e-05,t/vkm,GASO,1.1,1068.0,int:NXTR-default|pkm:obs,"MOTO: NXTR v0 default intensity; pkm ESTAT Y11 where observed, else the region gets a zero-output MOTO activity (declared)"
HU,CAR.G,0.7542,5.241668e-05,t/vkm,GASO,1.5,52251.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
HU,CAR.D,0.2456,5.241668e-05,t/vkm,DIES,1.5,52251.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
HU,CAR.LPG,0.0,5.005505e-05,t/vkm,LPG,1.5,52251.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
HU,CAR.CNG,0.0001,4.982042e-05,t/vkm,NGAS,1.5,52251.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
HU,CAR.E,0.0,1.021876e-06,TJ/vkm,ELE,1.5,52251.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
HU,MOTO,1.0,3.000000e-05,t/vkm,GASO,1.1,0.0,int:NXTR-default|pkm:none,"MOTO: NXTR v0 default intensity; pkm ESTAT Y11 where observed, else the region gets a zero-output MOTO activity (declared)"
IE,CAR.G,0.6219,5.241668e-05,t/vkm,GASO,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
IE,CAR.D,0.3779,5.241668e-05,t/vkm,DIES,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
IE,CAR.LPG,0.0,5.005505e-05,t/vkm,LPG,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
IE,CAR.CNG,0.0,4.982042e-05,t/vkm,NGAS,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
IE,CAR.E,0.0001,1.021876e-06,TJ/vkm,ELE,1.5,0.0,sh:carpark-Y13|int:FULFILL-2011|pkm:synth,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
IE,MOTO,1.0,3.000000e-05,t/vkm,GASO,1.1,0.0,int:NXTR-default|pkm:none,"MOTO: NXTR v0 default intensity; pkm ESTAT Y11 where observed, else the region gets a zero-output MOTO activity (declared)"
IT,CAR.G,0.5223,4.941926e-05,t/vkm,GASO,1.5,665328.0,sh:carpark-Y13|int:FULFILL-2011|pkm:obs,shares: ESTAT.CARPARK stock Y13 as 2011 proxy (or observed median); intensity: FULFILL REF 2011 (or median); pkm: ESTAT/ITF Y11 (or gasoline-anchor synthesis at apply time)
